Year,Host,Teams,Winner,Winner Goals,Runner Goals,Hints,Runner-up
1960,France,4,Soviet union,2,1,A.e.t.,Yugoslavia
1964,Spain,4,Spain,2,1,Fulltime,Soviet union
1968,Italy,4,Italy,1,1,"A.e.t. , 2–0 , replay",Yugoslavia
1972,Belgium,4,West germany,3,0,Fulltime,Soviet union
1976,Yugoslavia,4,Czechoslovakia,2,2,"A.e.t. , 5–3 penalties",West germany
1980,Italy,8,West germany,2,1,Fulltime,Belgium
1984,France,8,France,2,0,Fulltime,Spain
1988,West germany,8,Netherlands,2,0,Fulltime,Soviet union
1992,Sweden,8,Denmark,2,0,Fulltime,Germany
1996,England,16,Germany,2,1,G.g.,Czech republic
2000,Belgium netherlands,16,France,2,1,G.g.,Italy
2004,Portugal,16,Greece,1,0,Fulltime,Portugal
2008,Austria  switzerland,16,Spain,1,0,Fulltime,Germany
2012,Poland ukraine,16,Spain,4,0,Fulltime,Italy
2016,France,24,Portugal,1,0,A.e.t.,France
2020,Europe,24,Italy,1,1,"A.e.t. , 3–2 penalties",England
2024,Germany,24,Spain,2,1,Fulltime,England
