Year,Host,Winner,Score,Runner-up,Number of teams
,,,,,
,,Winners,Score,Runners-up,
1960,France,Soviet Union,2–1 (a.e.t.),Yugoslavia,4
1964,Spain,Spain,2–1,Soviet Union,4
1968,Italy,Italy,1–1 (a.e.t.)2–0 (replay),Yugoslavia,4
1972,Belgium,West Germany,3–0,Soviet Union,4
1976,Yugoslavia,Czechoslovakia,2–2 (a.e.t.)(5–3 p),West Germany,4
1980,Italy,West Germany,2–1,Belgium,8
1984,France,France,2–0,Spain,8
1988,West Germany,Netherlands,2–0,Soviet Union,8
1992,Sweden,Denmark,2–0,Germany,8
1996,England,Germany,2–1 (g.g.),Czech Republic,16
2000,Belgium Netherlands,France,2–1 (g.g.),Italy,16
2004,Portugal,Greece,1–0,Portugal,16
2008,Austria  Switzerland,Spain,1–0,Germany,16
2012,Poland Ukraine,Spain,4–0,Italy,16
2016,France,Portugal,1–0 (a.e.t.),France,24
2020[c],Europe[d],Italy,1–1 (a.e.t.)(3–2 p),England,24
2024,Germany,Spain,2–1,England,24
2028,England  Northern Ireland  Republic of Ireland   Scotland Wales,"","","",24
2032,Italy Turkey,"","","",24
